Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/v2/pet/1,586,246,63,68.4536996076975,51.98210799426306,346.6848459938774,101.4778156996587,4.900619500562975,2.0572566504069827,63,65,66,67,69,74,280,300,350,350,350
GET,/v2/pet/findByStatus?status=available,1122,0,65,73.08567134559082,54.531660993234254,447.7664299920434,44106.62923351159,9.383097405514775,0.0,65,66,68,69,73,120,180,370,450,450,450
GET,/v2/store/inventory,512,0,63,68.59187325829907,53.09887400653679,349.7002060030354,96.80859375,4.281769939058435,0.0,63,65,66,67,70,73,270,290,350,350,350
POST,/v2/store/order,583,0,71,75.60435504612424,54.68375999771524,353.1629460048862,110.0,4.875531004826304,0.0,71,73,74,75,80,86,250,310,350,350,350
,Aggregated,2803,246,65,71.82032440956233,51.98210799426306,447.7664299920434,17717.017481270068,23.44101784996249,2.0572566504069827,65,67,69,71,75,84,190,300,410,450,450
